,mean,ci,context,model,model_size
0,3.285486459732056,0.0638230815529823,none,gpt2,137000000.0
1,3.06211256980896,0.0634334459900856,user,gpt2,137000000.0
2,3.2736828327178955,0.0622014626860618,peer,gpt2,137000000.0
3,3.306417226791382,0.062158029526472,random,gpt2,137000000.0
4,3.0822174549102783,0.0620989017188549,none,gpt2-medium,355000000.0
5,2.855824708938598,0.0610273852944374,user,gpt2-medium,355000000.0
6,3.0600411891937256,0.0601929165422916,peer,gpt2-medium,355000000.0
7,3.107656478881836,0.0606858022511005,random,gpt2-medium,355000000.0
8,2.975456476211548,0.0629713460803031,none,gpt2-large,774000000.0
9,2.7773101329803467,0.0615399368107318,user,gpt2-large,774000000.0
10,2.945539712905884,0.0612146146595478,peer,gpt2-large,774000000.0
11,3.0019233226776123,0.0616307072341442,random,gpt2-large,774000000.0
12,2.901247501373291,0.06250125914812088,none,gpt2-xl,1500000000.0
13,2.7020533084869385,0.06110285222530365,user,gpt2-xl,1500000000.0
14,2.873234748840332,0.060899391770362854,peer,gpt2-xl,1500000000.0
15,2.915310859680176,0.06124453619122505,random,gpt2-xl,1500000000.0
